protected,verified,location,followers_count,following_count,tweet_count,isFraud,un_no_of_char,un_special_char,un_uppercase,name_no_of_char,name_special_char,name_uppercase,des_no_of_usertags,des_no_of_hashtags,des_external_links,has_description,account_age_in_days
0,0,1,6,0,11,1,12,0,1,12,0,1,0,0,0,0,3867
0,0,1,4,504,20,1,10,0,1,10,0,1,0,0,0,1,3866
0,0,1,3,0,21,1,15,0,1,12,0,1,0,0,0,1,3842
0,0,1,1,0,21,1,15,1,1,17,0,1,0,0,0,1,3844
0,0,1,53,0,681,1,7,0,1,10,0,1,0,0,0,1,3838
0,0,1,3,0,32,1,12,0,0,15,0,1,0,0,0,1,3809
0,0,1,1,0,36,1,10,0,0,9,0,0,0,0,0,1,3829
0,0,1,30,275,384,1,9,1,1,11,0,1,0,0,0,1,3820
0,0,1,2,0,2,1,10,1,0,9,0,0,0,0,0,1,3815
0,0,1,4,0,90,1,15,0,0,13,0,0,0,0,0,1,3832
0,0,1,506,0,6355,1,14,1,1,7,0,0,0,0,0,0,3797
0,0,1,3468,0,201,1,11,0,0,16,0,0,0,1,0,1,3797
0,0,1,351,1831,5545,1,8,0,1,13,0,1,0,0,0,1,3792
0,0,1,6,564,7,1,11,0,0,13,0,1,0,0,0,1,3795
0,0,1,107,0,359,1,15,1,1,5,0,1,0,0,0,1,3790
0,0,1,569,0,165,1,10,1,0,18,0,1,0,0,0,1,3791
0,0,1,31,0,111,1,13,1,1,9,0,1,0,0,0,1,3778
0,0,1,1,0,9,1,9,0,1,1,0,0,0,0,0,1,3788
0,0,1,0,0,63,1,9,0,1,11,0,1,0,0,0,1,3786
0,0,1,1,0,2,1,14,0,0,15,0,0,0,0,0,1,3781
0,0,1,28,0,145,1,15,0,1,14,0,1,0,0,0,0,3775
0,0,1,698,0,3541,1,12,1,0,13,0,1,1,0,0,1,3777
0,0,1,70,0,351,1,12,1,1,17,0,1,1,5,0,1,3770
0,0,1,2,0,16,1,7,0,0,7,0,0,0,0,0,1,3749
